Q#,DF ref,DF ref #,Level,Calculator,Question (raw),Answer (raw),Wrong1 (raw),Wrong 2 (raw),Worked Answer (raw),Hint,Question (notated),Answer (notated),Wrong1 (notated),Wrong 2 (notated),Worked Answer (notated),,
137,67c,67,2,No,3124 x 23 =,71852,70852,71752,"3124x3=9372, 3124x20=62480, 9372+62480=71852.","Split the 2-digit number into tens and units, multiply separately, then add.",,,,,,,
138,67f,67,3,No,"4☐ x 12 = 552, find the missing digit.",6,5,7,"552 ÷ 12 = 46, so the missing digit is 6.",Divide the answer by 12 to reconstruct the original number.,,,,,,,
139,68c,68,1,No,How many hundredths are equivalent to 7 tenths?,70,7,700,"Each tenth is worth 10 hundredths, so 7 tenths = 7 x 10 = 70 hundredths.",One tenth is the same as ten hundredths.,,,,,,,
140,68e,68,2,No,How many thousandths are equivalent to 4 hundredths?,40,4,400,"Each hundredth is worth 10 thousandths, so 4 hundredths = 4 x 10 = 40 thousandths.",One hundredth is the same as ten thousandths.,,,,,,,
141,68f,68,2,No,Write 63 hundredths as a number of tenths plus a number of hundredths.,6 tenths and 3 hundredths,6 tenths and 30 hundredths,60 tenths and 3 hundredths,63 hundredths is 60 hundredths (6 tenths) plus 3 remaining hundredths.,How many whole tenths (groups of 10) are in 63?,,,,,,,
142,68g,68,3,No,"Write 425 thousandths as a number of tenths, hundredths and thousandths.","4 tenths, 2 hundredths and 5 thousandths","4 tenths, 25 hundredths and 5 thousandths","42 tenths, 5 hundredths and 0 thousandths","Use the place value of each digit in 425: 4 is the tenths digit, 2 is the hundredths digit, 5 is the thousandths digit.",Look at the place value of each digit in 425.,,,,,,,
143,69a,69,1,No,What is the value of the digit 7 in the number 5.372?,7 hundredths (0.07),7 tenths (0.7),7 thousandths (0.007),"Counting from the decimal point, the digits represent tenths, hundredths, thousandths. 7 is the second digit after the point, so it's worth 7 hundredths.","Count the places after the decimal point: tenths, hundredths, thousandths.",,,,,,,
144,69n,69,2,No,"Write 3.456 as a sum of ones, tenths, hundredths and thousandths.",3 + 0.4 + 0.05 + 0.006,3 + 0.4 + 0.5 + 0.6,3 + 4 + 0.5 + 0.06,"Each digit's value depends on its place: 3 ones, 4 tenths, 5 hundredths, 6 thousandths.",Use the place value of each digit after the decimal point.,,,,,,,
145,69u,69,2,No,What is the value of the digit 8 in the number 0.60248?,8 hundred-thousandths (0.00008),8 thousandths (0.008),8 ten-thousandths (0.0008),"The digits after the point are tenths, hundredths, thousandths, ten-thousandths, hundred-thousandths — 8 is in the fifth position, so it's worth 8 hundred-thousandths.",Keep counting the place-value names past thousandths.,,,,,,,
146,69v,69,1,No,What number is 0.5 more than 7?,7.5,7.05,12,7 + 0.5 = 7.5.,Add half to the integer.,,,,,,,
147,69w,69,1,No,What number is 0.1 less than 4?,3.9,3.1,4.1,4 - 0.1 = 3.9.,Subtract a tenth from the integer.,,,,,,,
148,70a,70,1,No,3.6 x 100 =,360,36,3600,Multiplying by 100 moves the digits two places to the left: 3.6 x 100 = 360.,Multiplying by 100 shifts every digit two places up.,,,,,,,
149,70a,70,1,No,4.2 x 100 =,420,42,4200,Multiplying by 100 moves the digits two places to the left: 4.2 x 100 = 420.,Multiplying by 100 shifts every digit two places up.,,,,,,,
150,70c,70,3,No,1.372 x 10000 =,13720,1372,137200,"Multiplying by 10,000 moves the digits four places to the left: 1.372 x 10000 = 13720.",Count the zeros in the power of 10 to know how many places to shift.,,,,,,,
151,70c,70,3,No,2.65 x 100000 =,265000,26500,2650000,"Multiplying by 100,000 moves the digits five places to the left: 2.65 x 100000 = 265000.",Count the zeros in the power of 10 to know how many places to shift.,,,,,,,
152,70d,70,1,No,470 ÷ 100 =,4.7,47,0.47,Dividing by 100 moves the digits two places to the right: 470 ÷ 100 = 4.7.,Dividing by 100 shifts every digit two places down.,,,,,,,
153,70d,70,1,No,830 ÷ 10 =,83,8.3,8300,Dividing by 10 moves the digits one place to the right: 830 ÷ 10 = 83.,Dividing by 10 shifts every digit one place down.,,,,,,,
154,70f,70,2,No,5.372 ÷ 100 =,0.05372,0.5372,0.005372,Dividing by 100 moves the digits two places to the right: 5.372 ÷ 100 = 0.05372.,Dividing by 100 shifts every digit two places down.,,,,,,,
155,70f,70,2,No,2.485 ÷ 10 =,0.2485,24.85,0.02485,Dividing by 10 moves the digits one place to the right: 2.485 ÷ 10 = 0.2485.,Dividing by 10 shifts every digit one place down.,,,,,,,
156,70g,70,3,No,4200 ÷ 1000000 =,0.0042,0.042,42,"Dividing by 1,000,000 moves the digits six places to the right: 4200 ÷ 1000000 = 0.0042.",Count the zeros in the power of 10 to know how many places to shift.,,,,,,,
157,70g,70,3,No,850 ÷ 100000 =,0.0085,0.085,8.5,"Dividing by 100,000 moves the digits five places to the right: 850 ÷ 100000 = 0.0085.",Count the zeros in the power of 10 to know how many places to shift.,,,,,,,
158,71a,71,1,No,Insert < or >: 0.6 ☐ 0.4,>,<,=,0.6 is greater than 0.4.,Compare the tenths digit of each number.,,,,,,,
159,71a,71,1,No,Insert < or >: 0.3 ☐ 0.8,<,>,=,0.3 is less than 0.8.,Compare the tenths digit of each number.,,,,,,,
160,71b,71,1,No,"Order these from smallest to largest: 0.4, 0.9, 0.1, 0.6.","0.1, 0.4, 0.6, 0.9","0.9, 0.6, 0.4, 0.1","0.1, 0.6, 0.4, 0.9",Compare the tenths digit of each: 0.1 < 0.4 < 0.6 < 0.9.,"With one decimal place, just compare the single digit after the point.",,,,,,,
161,71d,71,1,No,"Order these from smallest to largest: 0.45, 0.05, 0.5.","0.05, 0.45, 0.5","0.5, 0.45, 0.05","0.05, 0.5, 0.45","Compare tenths first (0, 4, 5), then hundredths: 0.05 < 0.45 < 0.5.",Compare the tenths digit of each number first.,,,,,,,
162,71d,71,1,No,"Order these from smallest to largest: 0.72, 0.27, 0.7.","0.27, 0.7, 0.72","0.72, 0.7, 0.27","0.27, 0.72, 0.7","Compare tenths first (2,7,7), then hundredths: 0.27 < 0.7 < 0.72.",Compare the tenths digit of each number first.,,,,,,,
163,71e,71,2,No,Insert < or >: 0.372 ☐ 0.37,>,<,=,"0.37 is the same as 0.370, and 0.372 > 0.370.",Write both numbers with the same number of decimal places before comparing.,,,,,,,
164,71e,71,2,No,Insert < or >: 0.605 ☐ 0.65,<,>,=,"0.65 is the same as 0.650, and 0.605 < 0.650.",Write both numbers with the same number of decimal places before comparing.,,,,,,,
165,71f,71,2,No,"Order these from smallest to largest: 0.245, 0.24, 0.2405.","0.24, 0.2405, 0.245","0.245, 0.2405, 0.24","0.24, 0.245, 0.2405","Write all to 4 decimal places: 0.2400, 0.2405, 0.2450. Comparing digit by digit gives the order 0.24, 0.2405, 0.245.",Write all the numbers with the same number of decimal places before comparing.,,,,,,,
166,71h,71,3,No,"Order these from smallest to largest: 0.0821, 0.082, 0.08201.","0.082, 0.08201, 0.0821","0.0821, 0.08201, 0.082","0.082, 0.0821, 0.08201","Write all to 5 decimal places: 0.08200, 0.08201, 0.08210. Comparing digit by digit gives the order 0.082, 0.08201, 0.0821.",Write all the numbers with the same number of decimal places before comparing.,,,,,,,
167,71h,71,3,No,"Order these from smallest to largest: 0.1043, 0.104, 0.10401.","0.104, 0.10401, 0.1043","0.1043, 0.10401, 0.104","0.104, 0.1043, 0.10401","Write all to 5 decimal places: 0.10400, 0.10401, 0.10430. Comparing digit by digit gives the order 0.104, 0.10401, 0.1043.",Write all the numbers with the same number of decimal places before comparing.,,,,,,,
168,72a,72,1,No,0.6 + ☐ = 1,0.4,0.6,1.4,1 - 0.6 = 0.4.,Subtract 0.6 from 1.,,,,,,,
169,72e,72,2,No,3.65 + ☐ = 5,1.35,1.45,2.35,5 - 3.65 = 1.35.,"Subtract 3.65 from 5, exchanging as needed.",,,,,,,
170,72g,72,3,No,6.428 + ☐ = 10,3.572,3.582,4.572,10 - 6.428 = 3.572.,"Subtract 6.428 from 10, exchanging across each column.",,,,,,,
171,73a,73,1,No,Write £3 and 45 pence in decimal notation.,£3.45,£3.045,£34.5,"45 pence is 45 hundredths of a pound, so £3 and 45p = £3.45.","Pence go after the decimal point, as hundredths of a pound.",,,,,,,
172,73b,73,1,No,Split £7.08 into pounds and pence.,£7 and 8 pence,£7 and 80 pence,£70 and 8 pence,The whole number part is pounds (7) and the two digits after the point are pence (08 = 8p).,"The first digit after the point is tens of pence, the second is units of pence.",,,,,,,
173,73g,73,2,No,How much needs to be added to £4.65 to make £5?,35 pence,45 pence,25 pence,£5.00 - £4.65 = £0.35 = 35 pence.,"Subtract from £5.00, exchanging as needed.",,,,,,,
174,73k,73,2,No,"Put these amounts in order from smallest to largest: £4.06, £4.60, £4.16.","£4.06, £4.16, £4.60","£4.60, £4.16, £4.06","£4.06, £4.60, £4.16","Compare the tenths digit first (0, 6, 1), then the hundredths: £4.06 < £4.16 < £4.60.",Compare the tenths digit of each amount first.,,,,,,,
175,74a,74,1,No,3.45 + 2.32 =,5.77,5.67,5.87,Line up the decimal points and add each column: 3.45 + 2.32 = 5.77.,Line up the decimal points before adding.,,,,,,,
176,74a,74,1,No,5.23 + 3.14 =,8.37,8.27,8.47,Line up the decimal points and add each column: 5.23 + 3.14 = 8.37.,Line up the decimal points before adding.,,,,,,,
177,74b,74,1,No,4.6 + 2.35 =,6.95,6.85,7.05,"Write 4.6 as 4.60 to match place values, then add: 4.60 + 2.35 = 6.95.",Give the shorter decimal a trailing zero so the place values line up.,,,,,,,
178,74b,74,1,No,7.4 + 1.85 =,9.25,9.15,9.35,"Write 7.4 as 7.40 to match place values, then add: 7.40 + 1.85 = 9.25.",Give the shorter decimal a trailing zero so the place values line up.,,,,,,,
179,74d,74,2,No,8.2 - 3.45 =,4.75,4.85,5.75,"Write 8.2 as 8.20, then subtract: 8.20 - 3.45 = 4.75.","Give the shorter decimal a trailing zero, then exchange as needed.",,,,,,,
180,74d,74,2,No,9.1 - 4.36 =,4.74,4.84,5.74,"Write 9.1 as 9.10, then subtract: 9.10 - 4.36 = 4.74.","Give the shorter decimal a trailing zero, then exchange as needed.",,,,,,,
181,74e,74,2,No,12 - 4.65 =,7.35,7.45,8.35,"Write 12 as 12.00, then subtract: 12.00 - 4.65 = 7.35.",Write the whole number with decimal places before subtracting.,,,,,,,
182,74e,74,2,No,15 - 6.28 =,8.72,8.82,9.72,"Write 15 as 15.00, then subtract: 15.00 - 6.28 = 8.72.",Write the whole number with decimal places before subtracting.,,,,,,,
183,74f,74,3,No,5.2 + 3.65 - 2.8 =,6.05,5.95,6.15,"5.2 + 3.65 = 8.85, then 8.85 - 2.8 = 6.05.","Work through the calculation in order, one operation at a time.",,,,,,,
184,74f,74,3,No,6.5 + 2.75 - 3.4 =,5.85,5.75,5.95,"6.5 + 2.75 = 9.25, then 9.25 - 3.4 = 5.85.","Work through the calculation in order, one operation at a time.",,,,,,,
185,75a,75,1,No,Round 6.7 to the nearest whole number.,7,6,6.5,"6.7 is closer to 7 than to 6, so it rounds to 7.",Look at the first decimal digit to decide whether to round up or down.,,,,,,,
186,75a,75,1,No,Round 8.3 to the nearest whole number.,8,9,8.5,"8.3 is closer to 8 than to 9, so it rounds to 8.",Look at the first decimal digit to decide whether to round up or down.,,,,,,,
187,75b,75,1,No,Round 4.83 to 1 decimal place.,4.8,4.9,5,"The second decimal digit is 3, which rounds down, so 4.83 rounds to 4.8.",Look at the second decimal digit to decide whether to round up or down.,,,,,,,
188,75b,75,1,No,Round 6.47 to 1 decimal place.,6.5,6.4,6,"The second decimal digit is 7, which rounds up, so 6.47 rounds to 6.5.",Look at the second decimal digit to decide whether to round up or down.,,,,,,,
189,75c,75,3,No,Round 12.9967 to 3 decimal places.,12.997,12.996,13,"The fourth decimal digit is 7, which rounds up, so 12.9967 rounds to 12.997.",Rounding up can cause digits to carry — check the whole number if needed.,,,,,,,
190,75c,75,3,No,Round 5.9996 to 3 decimal places.,6,5.999,5.9996,"The fourth decimal digit is 6, which rounds up, causing every digit to carry: 5.9996 rounds to 6.000.",Rounding up can cause digits to carry — check the whole number if needed.,,,,,,,
191,75c,75,2,No,Round 7.256 to 2 decimal places.,7.26,7.25,7.3,"The third decimal digit is 6, which rounds up, so 7.256 rounds to 7.26.",Look at the third decimal digit to decide whether to round up or down.,,,,,,,
192,75c,75,2,No,Round 9.183 to 2 decimal places.,9.18,9.19,9.2,"The third decimal digit is 3, which rounds down, so 9.183 rounds to 9.18.",Look at the third decimal digit to decide whether to round up or down.,,,,,,,
193,76b,76,2,No,An angle measures 250°. What type of angle is it?,Reflex,Obtuse,Straight,"250° is more than 180°, so it's a reflex angle.",An angle greater than 180° is reflex.,,,,,,,
194,76b,76,1,No,An angle measures 105°. What type of angle is it?,Obtuse,Acute,Reflex,"105° is more than 90° but less than 180°, so it's obtuse.",Compare the angle to 90° and 180°.,,,,,,,
195,77a,77,1,No,What is the name of a triangle with all three sides equal?,Equilateral,Isosceles,Scalene,A triangle with all sides equal is called equilateral.,"Think about the Greek root meaning ""equal sides.""",,,,,,,
196,77a,77,2,No,What is the name of a triangle with one angle greater than 90°?,Obtuse,Acute,Right-angled,A triangle with an angle greater than 90° is called obtuse.,"Think about what ""obtuse"" means for an angle.",,,,,,,
197,77a,77,1,No,What is the name of a triangle with exactly two sides equal?,Isosceles,Equilateral,Scalene,A triangle with exactly two equal sides is called isosceles.,This type has one line of symmetry.,,,,,,,
198,77a,77,1,No,What is the name of a triangle with no sides equal?,Scalene,Isosceles,Equilateral,A triangle with no equal sides is called scalene.,This type has no lines of symmetry.,,,,,,,
199,77b,77,1,No,What is the name of a quadrilateral with two pairs of parallel sides and all angles 90°?,Rectangle,Rhombus,Trapezium,A quadrilateral with two pairs of parallel sides and four right angles is a rectangle.,Think of a shape with four right angles that isn't necessarily a square.,,,,,,,
200,77b,77,1,No,What is the name of a quadrilateral with all sides equal and all angles 90°?,Square,Rhombus,Rectangle,A quadrilateral with equal sides and four right angles is a square.,This shape is both a rectangle and a rhombus.,,,,,,,
201,77b,77,2,No,What is the name of a quadrilateral with exactly one pair of parallel sides?,Trapezium,Parallelogram,Kite,A quadrilateral with only one pair of parallel sides is a trapezium.,Only one pair of sides needs to be parallel.,,,,,,,
202,77b,77,2,No,What is the name of a quadrilateral with two pairs of adjacent equal sides?,Kite,Rhombus,Parallelogram,A quadrilateral with two pairs of adjacent (not opposite) equal sides is a kite.,Think of the shape's namesake toy.,,,,,,,
203,78a,78,1,No,Is an irregular polygon one where the sides or angles are not all equal?,Yes,No,Only if the sides are unequal,An irregular polygon has sides and/or angles that are not all equal.,Irregular means it fails the regular polygon condition in some way.,,,,,,,
204,78a,78,1,No,"Is a regular polygon one where all sides and angles are equal, or just the sides?",All sides and angles equal,Just the sides,Just the angles,A regular polygon must have both equal sides and equal angles.,Both length and angle conditions must be met.,,,,,,,
205,78e,78,2,No,A triangle has one angle of 90°. What type of triangle is it?,Right-angled,Obtuse,Equilateral,A triangle with a 90° angle is called right-angled.,Think about what a 90° angle is called.,,,,,,,
206,78e,78,2,No,A triangle has one angle of 120°. What type of triangle is it?,Obtuse,Right-angled,Acute,A triangle with an angle greater than 90° is obtuse.,Compare the angle to 90°.,,,,,,,
207,78f,78,2,No,A quadrilateral has two pairs of parallel sides but no right angles. What is it called?,Parallelogram,Rectangle,Trapezium,Two pairs of parallel sides without right angles describes a parallelogram.,A rectangle also has two pairs of parallel sides — what's different here?,,,,,,,
208,78f,78,2,No,A quadrilateral has all sides equal but no right angles. What is it called?,Rhombus,Square,Kite,"All sides equal but no right angles describes a rhombus, not a square.",A square also has all sides equal — what's different here?,,,,,,,
209,78f,78,3,No,A quadrilateral has one pair of parallel sides and two right angles. What is it called?,Right trapezium,Rectangle,Kite,One pair of parallel sides with two right angles describes a right trapezium.,Not all trapeziums have right angles — this one does.,,,,,,,
210,78f,78,3,No,What is a quadrilateral with two pairs of adjacent equal sides and one pair of opposite equal angles called?,Kite,Rhombus,Parallelogram,Two pairs of adjacent equal sides with one pair of equal opposite angles describes a kite.,Think of the shape's namesake toy.,,,,,,,
211,79b,79,1,No,A regular hexagon has a side length of 7cm. Find its perimeter.,42cm,49cm,14cm,"A hexagon has 6 equal sides, so perimeter = 6 x 7 = 42cm.",Multiply the side length by the number of sides.,,,,,,,
212,79c,79,1,No,A rectangle has length 9cm and width 4cm. Find its perimeter.,26cm,36cm,13cm,Perimeter = 2 x (9+4) = 2 x 13 = 26cm.,"Add the length and width, then double it.",,,,,,,
213,79d,79,2,No,"An isosceles triangle has sides 8cm, 8cm and 5cm. Find its perimeter.",21cm,18cm,24cm,Perimeter = 8+8+5 = 21cm.,Add both equal sides plus the third side.,,,,,,,
214,79f,79,3,No,A rectangle has a perimeter of 30cm and a width of 6cm. Find its length.,9cm,12cm,5cm,Half the perimeter is 15cm; subtract the width: 15-6=9cm.,"Halve the perimeter first, then subtract the known side.",,,,,,,
215,83f,83,2,No,"Point A is at (3, 2) and point B is at (3, 9). Find the distance between them.",7,6,12,"Both points share the same x-coordinate, so the distance is the difference in y-coordinates: 9-2=7.","If the x-coordinates match, subtract the y-coordinates.",,,,,,,
216,83f,83,2,No,"Point A is at (5, 1) and point B is at (5, 8). Find the distance between them.",7,6,9,"Both points share the same x-coordinate, so the distance is the difference in y-coordinates: 8-1=7.","If the x-coordinates match, subtract the y-coordinates.",,,,,,,
217,83g,83,3,No,"A = (2,5) and B = (8,5). Find the horizontal distance AB.",6,3,10,"Both points share the same y-coordinate, so the distance is the difference in x-coordinates: 8-2=6.","If the y-coordinates match, subtract the x-coordinates.",,,,,,,
218,83g,83,3,No,"A = (1,4) and B = (9,4). Find the horizontal distance AB.",8,5,13,"Both points share the same y-coordinate, so the distance is the difference in x-coordinates: 9-1=8.","If the y-coordinates match, subtract the x-coordinates.",,,,,,,
219,85b,85,1,No,"Count on 5 steps from -3: -3, -2, -1, ...",2,8,-8,"Counting up 5 from -3: -2,-1,0,1,2. Answer: 2.",Count upward through zero.,,,,,,,
220,85c,85,1,No,"Count back 4 steps from -1: -1, -2, -3, ...",-5,3,-3,"Counting back 4 from -1: -2,-3,-4,-5.","Keep counting downward, past zero if needed.",,,,,,,
